,grado
532,2.0
533,3.0
534,2.0
535,0.0
536,1.0
537,3.0
538,2.0
539,1.0
540,1.0
541,2.0
542,3.0
543,1.0
544,3.0
545,2.0
546,2.0
547,0.0
548,1.0
549,1.0
550,1.0
551,1.0
552,1.0
553,1.0
554,1.0
555,2.0
556,1.0
557,0.0
558,1.0
559,0.0
560,1.0
561,0.0
562,0.0
563,2.0
564,1.0
565,1.0
566,1.0
567,0.0
568,0.0
569,3.0
570,1.0
571,1.0
572,1.0
573,1.0
574,0.0
575,0.0
576,0.0
577,1.0
578,2.0
579,0.0
580,4.0
581,1.0
582,2.0
583,0.0
584,2.0
585,0.0
586,2.0
587,1.0
588,1.0
589,1.0
590,2.0
591,1.0
592,1.0
593,0.0
594,2.0
595,2.0
596,1.0
597,1.0
598,2.0
599,0.0
600,0.0
601,2.0
602,1.0
603,1.0
604,1.0
605,0.0
606,0.0
607,0.0
608,1.0
609,0.0
610,1.0
611,3.0
612,0.0
613,1.0
614,1.0
615,1.0
616,1.0
617,0.0
618,0.0
619,0.0
620,0.0
621,1.0
622,1.0
623,2.0
624,2.0
625,1.0
626,2.0
627,0.0
628,1.0
629,1.0
630,0.0
631,0.0
632,2.0
633,2.0
634,1.0
635,1.0
636,2.0
637,2.0
638,1.0
639,0.0
640,0.0
641,1.0
642,3.0
643,1.0
644,0.0
645,0.0
646,0.0
647,0.0
648,1.0
649,0.0
650,1.0
651,0.0
652,2.0
653,1.0
654,1.0
655,0.0
656,1.0
657,1.0
658,2.0
659,0.0
660,0.0
661,1.0
662,1.0
663,0.0
664,1.0
665,0.0
666,0.0
667,1.0
668,1.0
669,0.0
670,0.0
671,2.0
672,0.0
673,1.0
674,0.0
675,0.0
676,0.0
677,0.0
678,1.0
679,1.0
680,1.0
681,2.0
682,1.0
683,0.0
684,1.0
685,0.0
686,0.0
687,1.0
688,3.0
689,1.0
690,0.0
691,1.0
692,0.0
693,2.0
694,0.0
695,1.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,1.0
702,0.0
703,0.0
704,0.0
705,0.0
706,1.0
707,0.0
708,0.0
709,1.0
710,0.0
711,0.0
712,0.0
713,0.0
714,2.0
715,1.0
716,2.0
717,0.0
718,0.0
719,0.0
720,1.0
721,2.0
722,0.0
723,0.0
724,1.0
725,0.0
726,1.0
727,0.0
728,0.0
729,1.0
730,2.0
731,0.0
732,0.0
733,0.0
734,0.0
735,0.0
736,1.0
737,0.0
738,0.0
739,0.0
740,1.0
741,1.0
742,0.0
743,0.0
744,0.0
745,1.0
746,1.0
747,2.0
748,0.0
749,1.0
750,0.0
751,0.0
752,0.0
753,0.0
754,1.0
755,0.0
756,0.0
757,0.0
758,0.0
759,0.0
760,0.0
761,0.0
762,0.0
763,1.0
764,1.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,1.0
772,1.0
773,2.0
774,1.0
775,0.0
776,1.0
777,0.0
778,1.0
779,0.0
780,1.0
781,0.0
782,0.0
783,0.0
784,0.0
785,0.0
786,1.0
787,1.0
788,2.0
789,2.0
790,0.0
791,0.0
792,0.0
793,0.0
794,0.0
795,1.0
796,0.0
797,0.0
798,1.0
799,1.0
800,0.0
801,3.0
802,1.0
803,1.0
804,0.0
805,0.0
806,0.0
807,0.0
808,1.0
809,1.0
810,0.0
811,0.0
812,3.0
813,0.0
814,0.0
815,0.0
816,0.0
817,0.0
818,0.0
819,1.0
820,0.0
821,0.0
822,0.0
823,1.0
824,0.0
825,0.0
826,0.0
827,1.0
828,0.0
829,2.0
830,0.0
831,2.0
832,0.0
833,0.0
834,0.0
835,1.0
836,1.0
837,0.0
838,0.0
839,2.0
840,0.0
841,0.0
842,2.0
843,0.0
844,1.0
845,0.0
846,0.0
847,1.0
848,0.0
849,0.0
850,1.0
851,0.0
852,1.0
853,0.0
854,0.0
855,0.0
856,0.0
857,0.0
858,1.0
859,0.0
860,1.0
861,0.0
862,0.0
863,1.0
864,0.0
865,1.0
866,0.0
867,0.0
868,0.0
869,0.0
870,0.0
871,0.0
872,0.0
873,0.0
874,0.0
875,0.0
876,0.0
877,0.0
878,0.0
879,0.0
880,1.0
881,1.0
882,1.0
883,0.0
884,0.0
885,0.0
886,1.0
887,2.0
888,0.0
889,0.0
890,0.0
891,0.0
892,0.0
893,0.0
894,0.0
895,0.0
