,grado
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,192.0
101,196.0
102,198.0
103,172.0
104,187.0
105,160.0
106,154.0
107,143.0
108,166.0
109,157.0
110,146.0
111,136.0
112,124.0
113,135.0
114,125.0
115,142.0
116,114.0
117,105.0
118,130.0
119,142.0
120,110.0
121,101.0
122,100.0
123,106.0
124,108.0
125,109.0
126,101.0
127,86.0
128,93.0
129,105.0
130,80.0
131,86.0
132,84.0
133,93.0
134,82.0
135,71.0
136,79.0
137,76.0
138,68.0
139,80.0
140,67.0
141,77.0
142,67.0
143,79.0
144,60.0
145,47.0
146,47.0
147,69.0
148,61.0
149,67.0
150,56.0
151,57.0
152,57.0
153,50.0
154,60.0
155,75.0
156,71.0
157,51.0
158,45.0
159,52.0
160,41.0
161,35.0
162,47.0
163,47.0
164,31.0
165,44.0
166,44.0
167,29.0
168,40.0
169,40.0
170,41.0
171,42.0
172,43.0
173,35.0
174,36.0
175,45.0
176,27.0
177,34.0
178,35.0
179,33.0
180,35.0
181,34.0
182,17.0
183,27.0
184,31.0
185,30.0
186,40.0
187,32.0
188,28.0
189,28.0
190,29.0
191,24.0
192,31.0
193,27.0
194,28.0
195,36.0
196,30.0
197,30.0
198,32.0
199,23.0
200,22.0
201,41.0
202,28.0
203,21.0
204,32.0
205,16.0
206,21.0
207,24.0
208,16.0
209,15.0
210,16.0
211,21.0
212,26.0
213,20.0
214,21.0
215,27.0
216,20.0
217,21.0
218,14.0
219,24.0
220,17.0
221,15.0
222,13.0
223,19.0
224,24.0
225,11.0
226,23.0
227,11.0
228,17.0
229,16.0
230,13.0
231,18.0
232,24.0
233,21.0
234,20.0
235,16.0
236,10.0
237,15.0
238,20.0
239,21.0
240,5.0
241,11.0
242,13.0
243,18.0
244,16.0
245,13.0
246,13.0
247,12.0
248,8.0
249,11.0
250,11.0
251,17.0
252,13.0
253,13.0
254,13.0
255,6.0
256,7.0
257,16.0
258,5.0
259,13.0
260,10.0
261,6.0
262,9.0
263,10.0
264,15.0
265,11.0
266,11.0
267,12.0
268,15.0
269,11.0
270,4.0
271,14.0
272,7.0
273,8.0
274,10.0
275,7.0
276,11.0
277,10.0
278,14.0
279,11.0
280,7.0
281,11.0
282,9.0
283,9.0
284,10.0
285,4.0
286,7.0
287,9.0
288,10.0
289,7.0
290,6.0
291,9.0
292,13.0
293,10.0
294,12.0
295,9.0
296,9.0
297,5.0
298,5.0
299,7.0
300,6.0
301,8.0
302,1.0
303,9.0
304,4.0
305,12.0
306,10.0
307,5.0
308,5.0
309,6.0
310,5.0
311,4.0
312,11.0
313,5.0
314,1.0
315,3.0
316,7.0
317,5.0
318,7.0
319,2.0
320,9.0
321,10.0
322,7.0
323,7.0
324,3.0
325,5.0
326,5.0
327,7.0
328,6.0
329,7.0
330,3.0
331,9.0
332,7.0
333,4.0
334,5.0
335,5.0
336,3.0
337,4.0
338,2.0
339,6.0
340,9.0
341,3.0
342,7.0
343,9.0
344,7.0
345,5.0
346,3.0
347,6.0
348,7.0
349,7.0
350,2.0
351,4.0
352,10.0
353,4.0
354,5.0
355,2.0
356,5.0
357,2.0
358,4.0
359,5.0
360,2.0
361,4.0
362,3.0
363,5.0
364,4.0
365,2.0
366,2.0
367,2.0
368,4.0
369,1.0
370,4.0
371,1.0
372,5.0
373,7.0
374,3.0
375,7.0
376,7.0
377,5.0
378,3.0
379,2.0
380,1.0
381,4.0
382,2.0
383,3.0
384,4.0
385,3.0
386,3.0
387,2.0
388,5.0
389,3.0
390,4.0
391,2.0
392,0.0
393,4.0
394,4.0
395,8.0
396,4.0
397,1.0
398,3.0
399,5.0
400,2.0
401,6.0
402,3.0
403,3.0
404,4.0
405,1.0
406,3.0
407,2.0
408,4.0
409,3.0
410,1.0
411,3.0
412,5.0
413,1.0
414,4.0
415,3.0
416,6.0
417,3.0
418,6.0
419,3.0
420,2.0
421,2.0
422,1.0
423,5.0
424,1.0
425,1.0
426,2.0
427,8.0
428,3.0
429,3.0
430,1.0
431,3.0
432,2.0
433,4.0
434,2.0
435,5.0
436,0.0
437,2.0
438,5.0
439,2.0
440,2.0
441,1.0
442,2.0
443,5.0
444,0.0
445,0.0
446,4.0
447,3.0
448,2.0
449,2.0
450,2.0
451,1.0
452,1.0
453,5.0
454,1.0
455,0.0
456,5.0
457,4.0
458,3.0
459,3.0
460,1.0
461,2.0
462,1.0
463,3.0
464,4.0
465,0.0
466,4.0
467,2.0
468,1.0
469,1.0
470,1.0
471,2.0
472,1.0
473,1.0
474,2.0
475,1.0
476,1.0
477,1.0
478,0.0
479,2.0
480,2.0
481,3.0
482,3.0
483,2.0
484,0.0
485,0.0
486,0.0
487,1.0
488,2.0
489,2.0
490,0.0
491,0.0
492,2.0
493,2.0
494,1.0
495,0.0
496,0.0
497,2.0
498,0.0
499,1.0
500,1.0
501,1.0
502,1.0
503,2.0
504,3.0
505,4.0
506,1.0
507,3.0
508,3.0
509,5.0
510,0.0
511,4.0
512,2.0
513,1.0
514,1.0
515,2.0
516,1.0
517,3.0
518,1.0
519,2.0
520,2.0
521,2.0
522,1.0
523,0.0
524,4.0
525,3.0
526,3.0
527,0.0
528,4.0
529,1.0
530,3.0
531,2.0
532,2.0
533,0.0
534,2.0
535,1.0
536,3.0
537,2.0
538,0.0
539,1.0
540,2.0
541,1.0
542,0.0
543,1.0
544,2.0
545,1.0
546,0.0
547,3.0
548,1.0
549,0.0
550,0.0
551,1.0
552,2.0
553,1.0
554,1.0
555,2.0
556,2.0
557,3.0
558,2.0
559,1.0
560,0.0
561,2.0
562,2.0
563,0.0
564,1.0
565,1.0
566,0.0
567,2.0
568,1.0
569,1.0
570,0.0
571,0.0
