relativeGiantClusterSize,diameter,percentuale
1.0,2,0
1.0,3,1
0.996708360764,7,2
0.98204787234,8,3
0.979838709677,8,4
0.974202308215,12,5
0.972546328071,14,6
0.959084604716,15,7
0.952314165498,27,8
0.94968107725,29,9
0.944802867384,31,10
0.942028985507,33,11
0.937683284457,37,12
0.93328391401,40,13
0.900225056264,43,14
0.895295902883,45,15
0.878648233487,49,16
0.733488733489,39,17
0.685287175452,39,18
0.59474522293,28,19
0.581451612903,28,20
0.316734693878,23,21
0.276261373036,22,22
0.268006700168,18,23
0.260611205433,22,24
0.261392949269,22,25
0.25283347864,20,26
0.254416961131,21,27
0.257168458781,21,28
0.260672116258,21,29
0.264516129032,21,30
0.268224299065,21,31
0.270398481973,21,32
0.255052935515,18,33
0.251221896383,18,34
0.252976190476,18,35
0.252016129032,18,36
0.129989764585,13,37
0.116545265349,14,38
0.118393234672,14,39
0.120430107527,14,40
0.113661202186,14,41
0.111234705228,17,42
0.0972850678733,17,43
0.0990783410138,17,44
0.0785463071512,13,45
0.0800477897252,13,46
0.0790754257908,13,47
0.0732009925558,9,48
0.0745891276865,9,49
0.0761290322581,9,50
0.0776315789474,9,51
0.0793010752688,9,52
0.0809327846365,9,53
0.0827489481066,9,54
0.0845272206304,9,55
0.0865102639296,9,56
0.0884557721139,9,57
0.0506912442396,6,58
0.0518867924528,6,59
0.05,6,60
0.0512396694215,6,61
0.0526315789474,6,62
0.0505226480836,6,63
0.0519713261649,6,64
0.0534069981584,6,65
0.0550284629981,6,66
0.056640625,6,67
0.0584677419355,6,68
0.0602910602911,6,69
0.0623655913978,6,70
0.0644444444444,6,71
0.0437788018433,4,72
0.0429594272076,5,73
0.0446650124069,5,74
0.0463917525773,5,75
0.0295698924731,3,76
0.03081232493,3,77
0.0322580645161,3,78
0.0337423312883,3,79
0.0290322580645,2,80
0.0271186440678,3,81
0.0286738351254,3,82
0.030303030303,3,83
0.0322580645161,3,84
0.0343347639485,3,85
0.0230414746544,1,86
0.0247524752475,1,87
0.0215053763441,3,88
0.0233918128655,3,89
0.0258064516129,3,90
0.0285714285714,3,91
0.0322580645161,1,92
0.0366972477064,1,93
0.0430107526882,1,94
0.0512820512821,1,95
0.0645161290323,1,96
0.0851063829787,1,97
0.129032258065,2,98
0.125,1,99
0.0,0,100
