relativeGiantClusterSize,diameter,percentuale
1.0,0,0
1.0,0,1
1.0,0,2
1.0,0,3
1.0,0,4
0.998878744193,0,5
0.998866763801,0,6
0.998854712042,0,7
0.998842209725,0,8
0.998662207358,0,9
0.998647277646,0,10
0.997948367242,0,11
0.997924952447,0,12
0.997726080112,0,13
0.995576786978,0,14
0.994987468672,0,15
0.994565217391,0,16
0.994132746608,0,17
0.993876414919,0,18
0.992297576555,0,19
0.99029864942,0,20
0.98998459168,0,21
0.985563792431,0,22
0.975296442688,0,23
0.967761313576,0,24
0.944816392777,0,25
0.932346288299,0,26
0.922451532208,0,27
0.899830938292,0,28
0.885340762966,0,29
0.854347826087,0,30
0.835244816939,0,31
0.827254419333,0,32
0.805587099705,0,33
0.798247636615,0,34
0.784176029963,0,35
0.738468854018,0,36
0.732367149758,0,37
0.72981595092,0,38
0.675979047144,0,39
0.657367486685,0,40
0.653856074284,0,41
0.657922350472,0,42
0.623865456487,0,43
0.632608695652,0,44
0.534993084371,0,45
0.542969850662,0,46
0.547516508757,0,47
0.551068188469,0,48
0.557279236277,0,49
0.563603164942,0,50
0.555279503106,0,51
0.561331220285,0,52
0.561994172871,0,53
0.572609990076,0,54
0.580317889753,0,55
0.56846473029,0,56
0.569002123142,0,57
0.576449275362,0,58
0.582560296846,0,59
0.5888170407,0,60
0.567694108467,0,61
0.578293952743,0,62
0.5859375,0,63
0.593406593407,0,64
0.601304347826,0,65
0.584340044743,0,66
0.386814200092,0,67
0.389443651926,0,68
0.390088321884,0,69
0.331135902637,0,70
0.267051416579,0,71
0.2625,0,72
0.249577464789,0,73
0.253949678174,0,74
0.242848447961,0,75
0.24588086185,0,76
0.242724867725,0,77
0.229598893499,0,78
0.226811594203,0,79
0.210646387833,0,80
0.168935148118,0,81
0.178360101437,0,82
0.188729874776,0,83
0.199619771863,0,84
0.211967545639,0,85
0.222826086957,0,86
0.19649122807,0,87
0.15969581749,0,88
0.168741355463,0,89
0.16717325228,0,90
0.153716216216,0,91
0.167300380228,0,92
0.182608695652,0,93
0.20253164557,0,94
0.127659574468,0,95
0.125475285171,0,96
0.146464646465,0,97
0.159090909091,0,98
0.121212121212,0,99
0.0,0,100
