,grado
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,165.0
11,130.0
12,85.0
13,90.0
14,69.0
15,56.0
16,60.0
17,26.0
18,29.0
19,26.0
20,23.0
21,18.0
22,19.0
23,13.0
24,15.0
25,17.0
26,12.0
27,5.0
28,10.0
29,6.0
30,5.0
31,8.0
32,8.0
33,6.0
34,1.0
35,4.0
36,4.0
37,8.0
38,3.0
39,2.0
40,3.0
41,4.0
42,3.0
43,0.0
44,3.0
45,3.0
46,5.0
47,2.0
48,3.0
49,1.0
50,2.0
51,4.0
52,1.0
53,1.0
54,1.0
55,1.0
56,0.0
57,1.0
58,1.0
59,3.0
60,0.0
61,0.0
62,0.0
63,1.0
64,1.0
65,2.0
66,1.0
67,0.0
68,0.0
69,1.0
70,0.0
71,0.0
72,3.0
73,0.0
74,1.0
75,0.0
76,0.0
77,1.0
78,1.0
79,0.0
80,0.0
81,0.0
82,1.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,1.0
93,0.0
94,0.0
95,1.0
96,0.0
97,0.0
98,0.0
99,1.0
100,0.0
101,1.0
102,0.0
103,0.0
104,1.0
105,0.0
106,2.0
107,1.0
108,2.0
109,1.0
110,0.0
111,1.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,1.0
119,1.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,1.0
127,0.0
128,1.0
129,0.0
130,0.0
131,0.0
132,0.0
133,1.0
134,0.0
135,0.0
136,2.0
137,0.0
138,0.0
139,2.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,1.0
