radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,262,2,513,6600,,10.840947,52.305103,185927,36461,1,1306772794,1453337051,-78
GSM,262,2,513,20851,,10.88556,52.285669,198262,38717,1,1306772794,1453336658,-75
GSM,262,2,513,4882,,10.752077,52.301292,190655,62217,1,1306772794,1453337335,-55
GSM,262,7,30545,35180,,8.705528,52.080371,119261,1873,1,1306954127,1453334702,-69
GSM,262,2,396,7753,,12.563031,53.782674,54556,34079,1,1308127999,1453337960,-51
GSM,262,2,396,7751,,12.563719,53.842721,58293,37576,1,1308127999,1453337701,-56
GSM,262,2,396,27671,,12.574725,53.785318,54552,40110,1,1308127999,1453337818,-51
GSM,262,2,396,27673,,12.572254,53.773194,53491,27522,1,1308127999,1453337960,-52
GSM,262,2,385,7842,,12.336068,53.508144,59554,28190,1,1308144084,1453337571,-59
GSM,262,2,385,26162,,12.398294,53.501549,93181,42812,1,1308144084,1453337571,-77
GSM,262,2,380,3102,,11.67365,52.226872,146257,20866,1,1308302670,1453335219,-80
GSM,262,2,380,22121,,11.657832,52.194821,154689,57177,1,1308302670,1453334827,-65
GSM,262,2,381,3702,,12.071754,52.494707,88263,17700,1,1308303277,1453337441,-78
GSM,262,2,381,3701,,12.048514,52.535106,136680,16477,1,1308303277,1453337441,-81
GSM,262,2,381,20152,,12.028003,52.52913,78942,9602,1,1308303277,1453337441,-85
GSM,262,2,381,20141,,12.036929,52.4762,134725,9503,1,1308303277,1453337441,-94
GSM,262,1,35106,19574,,13.07956,51.858889,81826,10875,1,1308303762,1453337182,-81
GSM,262,2,384,6250,,11.370968,53.464054,155116,28086,1,1308304004,1453335742,-77
GSM,262,2,381,22663,,11.775685,52.223934,133314,33321,1,1308304368,1453335611,-77
GSM,262,2,380,4312,,11.630319,52.197999,162443,53654,1,1308304368,1453334827,-66
GSM,262,2,381,48591,,11.736336,52.162988,263371,16871,1,1308304368,1453337830,-70
GSM,262,2,380,4413,,11.684918,52.213468,121552,44792,1,1308304368,1453335219,-67
GSM,262,2,380,22581,,11.634988,52.146246,146634,25671,1,1308304368,1453334566,-64
GSM,262,1,18509,53782,,11.67748,52.204003,146888,3871,1,1308304368,1453335480,-53
GSM,262,1,18509,53783,,11.651705,52.205298,156172,6249,1,1308304368,1453335337,-51
GSM,262,2,396,27482,,13.010995,53.898404,67369,16670,1,1308310074,1453337932,-56
GSM,262,2,381,4893,,11.874552,52.553376,128568,8157,1,1308323298,1453337960,-84
GSM,262,2,316,2420,,13.55775,51.999233,222723,33386,1,1308369298,1453334827,-85
GSM,262,2,380,3141,,11.914551,52.583405,125063,20476,1,1308388793,1453337701,-62
GSM,262,2,381,3470,,12.03131,52.590182,124013,19652,1,1308471475,1453336932,-85
GSM,262,1,18468,33203,,11.796608,51.725778,149407,8889,1,1308543626,1453335747,-60
GSM,262,2,798,23880,,11.901201,51.768604,202065,64289,1,1308543626,1453336664,-60
GSM,262,2,380,21912,,11.871599,52.586317,109009,20012,1,1308558904,1453337960,-66
GSM,262,2,380,21042,,11.902361,52.598532,123158,24549,1,1308562055,1453337960,-68
GSM,262,2,309,3512,,12.539103,52.320873,145531,30670,1,1308563026,1453336001,-83
GSM,262,2,806,13533,,13.757114,51.202963,75865,18290,1,1308568002,1453336919,-83
GSM,262,2,806,6840,,13.764719,51.250616,127469,188338,1,1308568123,1453336290,-78
GSM,262,2,806,30952,,13.729711,51.284922,84196,151819,1,1308568972,1453336527,-72
GSM,262,2,384,27700,,11.425427,53.690595,119142,9189,1,1308570306,1453337830,-71
GSM,262,2,381,18742,,12.352232,52.56384,99955,12263,1,1308573336,1453336131,-82
GSM,262,1,5127,47940,,13.296219,52.526803,134789,7624,1,1308578187,1453337051,-51
GSM,262,2,316,1431,,13.65985,52.4154,78171,2936,0,1308602059,1453336395,-80
GSM,262,2,309,2543,,13.1353,52.364496,113725,23358,1,1308649663,1453335219,-65
GSM,262,2,806,6050,,13.724118,51.294018,183000,161638,1,1308650876,1453336527,-77
GSM,262,2,381,4892,,12.036236,52.516284,81310,11365,1,1308665552,1453337441,-86
GSM,262,2,381,3761,,12.357211,52.615606,97906,19992,1,1308721902,1453336131,-82
GSM,262,2,381,59382,,12.356642,52.604771,88680,8820,1,1308721902,1453336131,-85
GSM,262,2,381,18062,,12.333236,52.597878,100671,11774,1,1308721902,1453336658,-99
GSM,262,2,381,3763,,12.323551,52.590207,108107,28718,1,1308721902,1453336919,-78
GSM,262,2,381,3720,,12.273433,52.579141,110405,15613,1,1308721902,1453336781,-99
GSM,262,2,381,44121,,12.310008,52.280695,107739,33371,1,1308727491,1453336789,-77
GSM,262,2,381,3540,,12.294494,52.266627,148689,66375,1,1308727491,1453336789,-64
GSM,262,2,381,18603,,12.491139,52.320831,139316,25871,1,1308745589,1453335863,-79
GSM,262,2,381,18072,,12.509137,52.341514,142816,11827,1,1308745589,1453336001,-85
GSM,262,2,806,13823,,13.716421,51.187112,82303,71554,1,1308809851,1453336919,-66
GSM,262,2,381,18073,,12.460085,52.35204,88962,10733,1,1308822114,1453336001,-94
GSM,262,2,381,20052,,12.032553,52.623081,107747,11176,1,1308903251,1453337182,-84
GSM,262,2,381,3450,,12.121965,52.569748,168695,14514,1,1308908110,1453337441,-95
GSM,262,1,18468,29289,,11.813321,51.694598,161298,6632,1,1308910294,1453336006,-51
GSM,262,1,14082,52020,,12.426785,52.137027,93332,1565,1,1308920849,1453336658,-84
GSM,262,2,381,20053,,11.881433,52.62501,103944,22076,1,1308930310,1453337960,-83
