,percent,Compagnia,GC
243,36,Wind,1.0
244,37,Wind,1.0
245,38,Wind,1.0
246,39,Wind,1.0
247,40,Wind,1.0
248,41,Wind,1.0
249,42,Wind,1.0
250,43,Wind,1.0
251,44,Wind,1.0
252,45,Wind,1.0
253,46,Wind,1.0
254,47,Wind,1.0
255,48,Wind,1.0
256,49,Wind,1.0
257,50,Wind,1.0
258,51,Wind,1.0
259,52,Wind,1.0
260,53,Wind,1.0
261,54,Wind,1.0
262,55,Wind,1.0
263,56,Wind,1.0
264,57,Wind,1.0
265,58,Wind,1.0
266,59,Wind,1.0
267,60,Wind,1.0
268,61,Wind,1.0
269,62,Wind,1.0
270,63,Wind,1.0
271,64,Wind,1.0
272,65,Wind,1.0
273,66,Wind,1.0
274,67,Wind,1.0
275,68,Wind,1.0
276,69,Wind,1.0
277,70,Wind,1.0
278,71,Wind,1.0
279,72,Wind,1.0
280,73,Wind,1.0
281,74,Wind,1.0
282,75,Wind,1.0
283,76,Wind,1.0
284,77,Wind,1.0
285,78,Wind,1.0
286,79,Wind,1.0
287,80,Wind,1.0
288,81,Wind,1.0
289,82,Wind,1.0
290,83,Wind,1.0
291,84,Wind,1.0
292,85,Wind,1.0
293,86,Wind,1.0
294,87,Wind,1.0
295,88,Wind,1.0
296,89,Wind,1.0
297,90,Wind,1.0
298,91,Wind,1.0
299,92,Wind,1.0
300,93,Wind,1.0
301,94,Wind,1.0
302,95,Wind,1.0
303,96,Wind,1.0
304,97,Wind,1.0
305,98,Wind,0.700854700855
306,99,Wind,0.541666666667
307,100,Wind,0.586666666667
308,101,Wind,0.611111111111
309,102,Wind,0.515151515152
310,103,Wind,0.333333333333
311,0,Tre,1.0
312,1,Tre,1.0
313,2,Tre,1.0
314,3,Tre,1.0
315,4,Tre,1.0
316,5,Tre,1.0
317,6,Tre,1.0
318,7,Tre,1.0
319,8,Tre,1.0
320,9,Tre,1.0
321,10,Tre,1.0
322,11,Tre,1.0
323,12,Tre,1.0
324,13,Tre,1.0
325,14,Tre,1.0
326,15,Tre,1.0
327,16,Tre,1.0
328,17,Tre,1.0
329,18,Tre,1.0
330,19,Tre,1.0
331,20,Tre,1.0
332,21,Tre,1.0
333,22,Tre,1.0
334,23,Tre,1.0
335,24,Tre,1.0
336,25,Tre,1.0
337,26,Tre,1.0
338,27,Tre,1.0
339,28,Tre,1.0
340,29,Tre,1.0
341,30,Tre,1.0
342,31,Tre,1.0
343,32,Tre,1.0
344,33,Tre,1.0
345,34,Tre,1.0
346,35,Tre,1.0
347,36,Tre,1.0
348,37,Tre,1.0
349,38,Tre,1.0
350,39,Tre,1.0
351,40,Tre,1.0
352,41,Tre,1.0
353,42,Tre,1.0
354,43,Tre,1.0
355,44,Tre,1.0
356,45,Tre,1.0
357,46,Tre,1.0
358,47,Tre,1.0
359,48,Tre,1.0
360,49,Tre,1.0
361,50,Tre,1.0
362,51,Tre,1.0
363,52,Tre,1.0
364,53,Tre,1.0
365,54,Tre,1.0
366,55,Tre,1.0
367,56,Tre,1.0
368,57,Tre,1.0
369,58,Tre,1.0
370,59,Tre,1.0
371,60,Tre,1.0
372,61,Tre,1.0
373,62,Tre,1.0
374,63,Tre,1.0
375,64,Tre,1.0
376,65,Tre,1.0
377,66,Tre,1.0
378,67,Tre,1.0
379,68,Tre,1.0
380,69,Tre,1.0
381,70,Tre,1.0
382,71,Tre,1.0
383,72,Tre,1.0
384,73,Tre,1.0
385,74,Tre,1.0
386,75,Tre,1.0
387,76,Tre,1.0
388,77,Tre,1.0
389,78,Tre,1.0
390,79,Tre,1.0
391,80,Tre,1.0
392,81,Tre,1.0
393,82,Tre,1.0
394,83,Tre,1.0
395,84,Tre,1.0
396,85,Tre,1.0
397,86,Tre,1.0
398,87,Tre,1.0
399,88,Tre,1.0
400,89,Tre,1.0
401,90,Tre,1.0
402,91,Tre,1.0
403,92,Tre,1.0
404,93,Tre,1.0
405,94,Tre,1.0
406,95,Tre,1.0
407,96,Tre,1.0
408,97,Tre,0.222222222222
409,98,Tre,0.170731707317
410,99,Tre,0.25
411,100,Tre,0.133333333333
412,101,Tre,0.5
