,percent,provider,diameter,GCsize
207,10,Wind,2,1.0
208,11,Wind,2,1.0
209,12,Wind,2,1.0
210,13,Wind,2,1.0
211,14,Wind,2,1.0
212,15,Wind,2,1.0
213,16,Wind,2,1.0
214,17,Wind,2,1.0
215,18,Wind,2,1.0
216,19,Wind,2,1.0
217,20,Wind,2,1.0
218,21,Wind,2,1.0
219,22,Wind,2,1.0
220,23,Wind,2,1.0
221,24,Wind,2,1.0
222,25,Wind,2,1.0
223,26,Wind,2,1.0
224,27,Wind,2,1.0
225,28,Wind,2,1.0
226,29,Wind,2,1.0
227,30,Wind,2,1.0
228,31,Wind,2,1.0
229,32,Wind,2,1.0
230,33,Wind,2,1.0
231,34,Wind,2,1.0
232,35,Wind,2,1.0
233,36,Wind,2,1.0
234,37,Wind,2,1.0
235,38,Wind,2,1.0
236,39,Wind,2,1.0
237,40,Wind,2,1.0
238,41,Wind,2,1.0
239,42,Wind,2,1.0
240,43,Wind,2,1.0
241,44,Wind,2,1.0
242,45,Wind,2,1.0
243,46,Wind,2,1.0
244,47,Wind,2,1.0
245,48,Wind,2,1.0
246,49,Wind,2,1.0
247,50,Wind,2,1.0
248,51,Wind,2,1.0
249,52,Wind,2,1.0
250,53,Wind,2,1.0
251,54,Wind,2,1.0
252,55,Wind,2,1.0
253,56,Wind,2,1.0
254,57,Wind,2,1.0
255,58,Wind,2,1.0
256,59,Wind,2,1.0
257,60,Wind,2,1.0
258,61,Wind,2,1.0
259,62,Wind,2,1.0
260,63,Wind,2,1.0
261,64,Wind,2,1.0
262,65,Wind,2,1.0
263,66,Wind,2,1.0
264,67,Wind,2,1.0
265,68,Wind,2,1.0
266,69,Wind,2,1.0
267,70,Wind,2,1.0
268,71,Wind,2,1.0
269,72,Wind,2,1.0
270,73,Wind,2,1.0
271,74,Wind,2,1.0
272,75,Wind,2,1.0
273,76,Wind,2,1.0
274,77,Wind,2,1.0
275,78,Wind,2,1.0
276,79,Wind,2,1.0
277,80,Wind,2,1.0
278,81,Wind,2,1.0
279,82,Wind,2,1.0
280,83,Wind,2,1.0
281,84,Wind,2,1.0
282,85,Wind,2,1.0
283,86,Wind,2,1.0
284,87,Wind,2,1.0
285,88,Wind,2,1.0
286,89,Wind,2,1.0
287,90,Wind,2,1.0
288,91,Wind,2,1.0
289,92,Wind,2,1.0
