,percent,Provider,diameter,average path length,clustering,average degree,soglia percolativa,GCsize
0,0,Tim,2,1.9633666257812044,0.8948023060778048,64.29157175398633,358.73841411564626,1.0
1,1,Tim,4,2.349931941098114,0.8617902394572777,40.99597469810236,156.9401615889581,1.0
2,2,Tim,7,3.2152335601549757,0.8249354529847454,30.469221835075494,86.32781886102005,0.9965156794425087
3,3,Tim,9,3.8737268183883358,0.8004808950191787,25.241055718475074,64.12371038200575,0.9894428152492669
4,4,Tim,11,4.269234767120747,0.7885183487501489,21.501184834123222,49.6979115005235,0.985781990521327
5,5,Tim,13,5.171795726321146,0.7743478925636427,18.72890484739677,40.8650945807771,0.9802513464991023
6,6,Tim,16,5.6244964452159465,0.755202932462249,16.665054413542926,35.27862429255551,0.9685610640870617
7,7,Tim,17,5.935578231394121,0.7465897539449202,14.957849725106902,30.231479212611287,0.9657910812461821
8,8,Tim,20,6.720750501376402,0.7404593222056072,13.525925925925925,26.245253742241694,0.9635802469135802
9,9,Tim,29,7.867061058268556,0.7270627646585924,12.334373050530255,23.470969047137366,0.950093574547723
10,10,Tim,33,8.306584825424356,0.7112944627525715,11.292559899117276,21.195979899497488,0.9325346784363178
11,11,Tim,34,8.68663258802565,0.7009220743989917,10.364563416188656,18.90739146476448,0.92861695347355
12,12,Tim,39,9.148052137962207,0.6906673942052654,9.54639175257732,17.142008639308855,0.9213917525773195
13,13,Tim,46,10.610138914251982,0.6809756901165398,8.809120521172638,15.610116846620326,0.9140065146579804
14,14,Tim,47,11.011393925497849,0.6722158137563299,8.13570487483531,14.180404858299594,0.9090909090909091
15,15,Tim,48,10.594317566067067,0.6644227367734586,7.542971352431712,12.941883059530118,0.8860759493670886
16,16,Tim,49,10.668807127680651,0.6522582938464954,7.002695417789758,11.884334103156275,0.8706199460916442
17,17,Tim,51,10.913160936696453,0.6405756756643585,6.518064076346285,10.978038067349928,0.8588957055214724
18,18,Tim,52,11.296611694152924,0.6288238368810054,6.067586206896552,10.140259149806774,0.8434482758620689
19,19,Tim,54,9.480440104948404,0.605907831599727,5.641311933007676,9.446808510638297,0.7236566643405443
20,20,Tim,49,6.994226507755885,0.5955372203973431,5.258474576271187,8.67579908675799,0.6200564971751412
21,21,Tim,38,2.6575962188401485,0.5855301117799532,4.894924946390279,7.976927570093458,0.409578270192995
22,22,Tim,41,2.1855018123782446,0.5690321738078604,4.564399421128799,7.41154090044388,0.374095513748191
23,23,Tim,32,1.1818364431267656,0.5603150329523949,4.2695970695970695,6.861702127659575,0.2827838827838828
24,24,Tim,35,1.2294416210107526,0.549033298551102,3.9955489614243325,6.38618640920906,0.271513353115727
25,25,Tim,35,0.9850866836512769,0.5249392063817299,3.731029301277235,5.963350785340314,0.24417731029301276
26,26,Tim,35,0.9299163846837792,0.5086938091504293,3.493150684931507,5.591721132897603,0.243531202435312
27,27,Tim,37,0.8782993993736733,0.49208123753227795,3.272166538164996,5.222431668237513,0.2336160370084811
28,28,Tim,33,0.3832486317435497,0.47830977182539663,3.0734375,4.907981698017285,0.1609375
29,29,Tim,17,0.09570827890728813,0.46718759818522265,2.878859857482185,4.5599559955995606,0.0791765637371338
30,30,Tim,15,0.0694295641635563,0.45095926010853804,2.7046548956661316,4.316913946587538,0.06741573033707865
31,31,Tim,15,0.045764279637320666,0.42971056608159947,2.532139951179821,4.0269922879177384,0.047192839707078924
32,32,Tim,15,0.039319167259417934,0.40432578972182953,2.372937293729373,3.780250347705146,0.039603960396039604
33,33,Tim,16,0.03015636060357576,0.38281729428172967,2.2192468619246863,3.552790346907994,0.03347280334728033
34,34,Tim,12,0.01856897842490404,0.37215619694397306,2.0882852292020373,3.3650406504065042,0.025466893039049237
35,35,Tim,12,0.01577860940330868,0.3530002871088145,1.9483204134366925,3.1688770999115827,0.024978466838931956
36,36,Tim,11,0.012496252653732968,0.3319055944055946,1.8286713286713288,2.9999999999999996,0.016608391608391608
37,37,Tim,12,0.010550022773801775,0.311801242236025,1.7089618456078084,2.8598130841121496,0.015971606033717833
38,38,Tim,12,0.00875392976384861,0.2923123123123125,1.5891891891891892,2.707482993197279,0.016216216216216217
39,39,Tim,12,0.007800220517512375,0.2761512656297653,1.4803293687099726,2.5438813349814584,0.01646843549862763
40,40,Tim,12,0.005768133483184923,0.2548017348203223,1.3828996282527881,2.3911290322580645,0.01486988847583643
41,41,Tim,9,0.004616117855593696,0.23072080579162738,1.2823418319169027,2.2533136966126657,0.0113314447592068
42,42,Tim,9,0.0037650199774688815,0.21081253998720412,1.1861804222648753,2.129449838187702,0.011516314779270634
43,43,Tim,9,0.003151676829268293,0.1900813008130081,1.0926829268292684,1.9607142857142856,0.010731707317073172
44,44,Tim,9,0.0028550148957298908,0.16534391534391532,1.0238095238095237,1.8585271317829457,0.010912698412698412
45,45,Tim,9,0.0023198687174469214,0.15102589976454756,0.9525731584258325,1.7605932203389831,0.011099899091826439
46,46,Tim,9,0.001975304473347107,0.1300479123887748,0.8747433264887063,1.65962441314554,0.011293634496919919
47,47,Tim,4,0.0013597233334644964,0.1048415186346221,0.7878787878787878,1.5198938992042441,0.006269592476489028
48,48,Tim,4,0.0011397367049600072,0.08297872340425531,0.7148936170212766,1.419642857142857,0.005319148936170213
49,49,Tim,4,0.0010481712232346188,0.06500541711809317,0.66738894907909,1.3733766233766234,0.005417118093174431
50,50,Tim,3,0.0009073945336797043,0.052980132450331126,0.6136865342163356,1.3201438848920863,0.004415011037527594
51,51,Tim,3,0.0008031090708256062,0.04049493813273341,0.5579302587176603,1.2661290322580645,0.0044994375703037125
