radio,net,cell,lon,lat,range,samples,distance,grado
GSM,88,17574,12.600916,41.928267,10,5,9112.20251997,118
GSM,88,29747,12.600821,41.932236,4625,5,9319.83140871,694
GSM,88,29746,12.599868,41.933898,4431,3,9353.54422301,663
GSM,88,36608,12.628005,41.919081,5627,6,10579.2874168,689
GSM,10,28981,12.597507,41.937767,3026,6,9438.85584714,433
GSM,10,30077,12.620595,41.84292,4356,3,10875.5926633,748
GSM,10,30078,12.617337,41.836559,4449,3,11029.8913778,727
GSM,10,24062,12.529034,41.817426,7829,3,8537.55269635,2141
GSM,10,28728,12.447246,41.786618,3363,3,11993.8973074,371
GSM,10,28722,12.429748,41.792429,5589,4,11821.7942146,720
GSM,10,26461,12.471735,41.799041,1572,4,10250.8273201,253
GSM,88,18717,12.56196,41.966771,1559,2,9968.220401,154
GSM,88,18897,12.567046,41.964479,1181,3,9956.92233037,127
GSM,88,52636,12.548737,41.973013,2854,4,10122.9445648,264
GSM,88,8818,12.58569,41.953042,161,2,9850.32090431,106
GSM,88,26448,12.548809,41.988182,3136,2,11681.7032775,202
GSM,88,55742,12.582079,41.82635,833,2,9734.64181625,233
GSM,88,18730,12.613228,41.843283,3375,3,10379.8639907,613
GSM,88,31772,12.539132,41.795004,528,2,11140.3201903,116
GSM,1,52434,12.55762,41.806816,2426,2,10461.0179513,289
GSM,88,31786,12.41703,41.796394,4994,4,11832.8449771,578
GSM,88,31787,12.472554,41.798473,387,2,10304.4712406,136
GSM,88,17837,12.416283,41.798801,5207,5,11624.4046088,620
GSM,88,18892,12.398751,41.818875,6905,7,10541.4162396,934
GSM,88,30015,12.415942,41.821713,5723,14,9493.30565446,962
GSM,10,24061,12.523507,41.826879,6951,2,7410.47146196,2115
GSM,88,18797,12.514291,41.808836,8524,3,9192.40666123,2184
GSM,88,17294,12.540981,41.813305,6504,2,9280.76915933,1199
GSM,88,18795,12.528252,41.790979,9043,3,11350.3100713,1563
GSM,88,18796,12.528252,41.790979,9043,3,11350.3100713,1563
GSM,88,17623,12.465948,41.800007,993,2,10218.1076486,190
GSM,88,17624,12.437143,41.788895,3497,2,11985.8473189,388
GSM,88,36659,12.457995,41.791421,1774,2,11275.38036,232
GSM,88,18617,12.472123,41.814149,11297,6,8587.8185404,3574
GSM,88,8972,12.612674,41.898553,2658,4,8986.62530073,388
GSM,88,8976,12.620927,41.868123,5788,3,9858.24377728,1163
GSM,88,8978,12.601748,41.875072,4632,2,8296.59903777,1148
UMTS,99,6237896,12.605422,41.921659,1037,19,9102.1090219,211
UMTS,99,6237895,12.598905,41.914604,670,23,8370.1152551,168
UMTS,99,6267514,12.583758,41.910684,969,20,7164.24245723,198
GSM,10,21392,12.641612,41.926772,8883,11,11813.9827211,1184
GSM,10,28992,12.628572,41.913569,7798,9,10449.619254,1345
GSM,88,9435,12.532454,41.979972,881,3,10423.7656248,111
GSM,88,9413,12.625645,41.914419,7456,7,10263.6991961,1282
GSM,10,26262,12.516635,41.985723,2326,3,10780.1335694,184
GSM,10,28311,12.612105,41.931284,7882,10,10004.810626,1350
GSM,10,23643,12.610506,41.930167,4865,8,9842.43792437,664
GSM,10,23641,12.607089,41.935963,7229,7,9931.73987311,1159
GSM,10,24321,12.595581,41.938525,2867,3,9368.90984597,413
GSM,10,23642,12.612097,41.936199,7538,11,10266.0396398,1143
GSM,10,28317,12.618635,41.933508,2576,6,10549.564937,294
GSM,10,28313,12.623837,41.928117,1960,2,10642.637525,232
GSM,10,28991,12.64371,41.92269,10917,16,11813.1868229,1843
GSM,10,54562,12.555112,41.967969,4275,10,9830.8486332,519
GSM,10,54561,12.548522,41.974996,5206,12,10317.6591669,584
GSM,10,28993,12.618726,41.929134,7293,9,10342.1257683,1077
GSM,10,54563,12.548572,41.966923,5284,7,9505.02921589,708
GSM,10,28388,12.53811,41.976426,5956,7,10179.1645587,680
GSM,10,24028,12.619008,41.842358,2026,2,10803.19671,314
GSM,10,23703,12.612519,41.871978,2600,2,9150.92420695,485
GSM,10,29951,12.623824,41.896204,5460,3,9789.0820939,928
GSM,88,8692,12.381117,41.907518,2468,2,8483.12828733,165
GSM,10,28377,12.467633,41.975773,5085,2,9696.32931302,368
GSM,10,23831,12.459262,41.982027,282,2,10508.1250497,40
GSM,88,36491,12.331425,41.890857,4166,2,11950.213313,118
GSM,10,28983,12.5688,41.958757,8101,9,9512.43638068,1435
GSM,10,28999,12.608383,41.926059,963,3,9500.87114171,192
GSM,10,28312,12.630204,41.939006,1305,2,11595.021298,125
GSM,10,21393,12.627647,41.93314,4866,10,11131.6941303,479
GSM,10,21399,12.620861,41.931408,41832,299,10593.5758491,7463
GSM,1,6731,12.646301,41.918679,6454,4,11869.2683229,617
GSM,88,9117,12.639907,41.89423,9336,11,10969.6402233,1809
GSM,10,24337,12.480083,41.990634,1789,3,11210.9340072,105
GSM,1,7304,12.59836,41.937811,1605,2,9494.12810098,238
GSM,1,40846,12.604956,41.928689,784,2,9400.29468308,177
GSM,10,30013,12.483798,41.992337,1452,2,11381.009602,99
GSM,10,28389,12.471962,41.991119,4558,4,11329.4893356,226
GSM,88,17882,12.519833,41.985794,1011,2,10830.2669191,127
GSM,10,28511,12.610713,41.927123,756,2,9707.81780476,172
GSM,10,24027,12.595906,41.850973,350,2,8839.34145744,204
GSM,10,23292,12.624846,41.843034,1063,2,11146.9407489,183
GSM,10,24029,12.589855,41.838875,1153,3,9217.36596709,316
GSM,10,46291,12.586941,41.834396,591,2,9370.36501067,227
GSM,10,30079,12.586941,41.834396,591,2,9370.36501067,227
GSM,10,56413,12.39702,41.812763,450,2,11142.7411448,86
GSM,10,46323,12.376594,41.827537,6500,12,11060.1063492,530
UMTS,10,10086029,12.548777,41.952596,791,160,8111.76982473,139
GSM,10,28391,12.58772,41.938596,3327,4,8901.74205375,510
GSM,10,51922,12.622731,41.939679,6873,4,11144.3502727,788
GSM,10,31053,12.473995,41.995984,4307,4,11847.6403059,187
GSM,10,31052,12.50584,41.990319,6836,2,11184.0408627,540
GSM,10,30071,12.53103,41.919133,18071,3,4317.43887173,7359
GSM,10,54043,12.536039,41.976445,5252,3,10130.7483368,584
GSM,10,28998,12.635138,41.920561,3610,3,11134.2883998,331
GSM,10,26088,12.619873,41.932566,5993,16,10584.2991377,752
GSM,88,9435,12.525189,41.987536,234,2,11101.362129,82
GSM,88,52635,12.535013,41.978663,1092,2,10341.0919793,127
GSM,88,8818,12.595498,41.94047,1120,2,9489.8795545,184
GSM,88,16606,12.613134,41.908619,5017,14,9204.7670297,850
GSM,88,50544,12.611787,41.902146,3041,4,8971.97210499,464
GSM,88,50545,12.608133,41.89077,2990,4,8600.49253911,502
GSM,88,16607,12.608971,41.894929,3457,5,8678.95852086,606
GSM,88,8971,12.608222,41.881155,4782,3,8664.29584856,1092
GSM,88,9550,12.620761,41.837008,2447,2,11218.1691397,338
GSM,88,8981,12.577372,41.818634,881,2,10156.0991774,216
GSM,88,19080,12.581891,41.82428,1604,2,9894.32210995,324
GSM,88,9501,12.632644,41.890044,10033,2,10420.523531,2229
GSM,88,9328,12.616583,41.901737,794,2,9317.97394247,162
GSM,88,55648,12.611476,41.908407,4968,6,9079.43719719,864
GSM,88,29747,12.610383,41.90451,4526,5,8912.33108499,796
GSM,88,29746,12.613015,41.911901,224,2,9284.69041468,143
GSM,88,29745,12.614165,41.918499,959,6,9583.34859095,214
GSM,88,32030,12.614198,41.917836,887,5,9561.62454508,209
GSM,88,17509,12.583634,41.896551,3848,3,6818.16281513,905
UMTS,1,98962158,12.569794,41.848905,60,3,7357.8563864,153
UMTS,1,98961404,12.560426,41.857252,1124,33,6242.30891875,306
UMTS,1,98971783,12.57081,41.849246,1378,10,7393.55685451,325
UMTS,1,98962185,12.524372,41.830816,16,9,7017.33184964,98
UMTS,1,98983240,12.524414,41.830827,9,3,7017.23813922,97
UMTS,1,98960940,12.474084,41.859589,244,4,3661.57955725,168
UMTS,1,98965906,12.471995,41.85821,5,2,3862.43937642,141
UMTS,10,10084454,12.477344,41.854752,994,5,4093.84558395,324
