radio,net,cell,lon,lat,range,samples,distance
UMTS,1,98835242,12.507567,41.967168,1575,11,8638
UMTS,1,98835091,12.505637,41.975925,1084,21,9589
UMTS,1,98830129,12.507478,41.980227,797,24,10079
UMTS,1,98835165,12.508385,41.983824,6,4,10484
UMTS,1,98831279,12.510378,41.989535,829,71,11132
UMTS,1,98831224,12.527244,41.982649,348,36,10608
UMTS,1,98858787,12.526926,41.983398,286,31,10683
UMTS,1,98831263,12.526813,41.987264,105,8,11099
UMTS,1,98437994,12.414456,41.820591,78,7,9659
UMTS,1,98435530,12.417351,41.822755,645,54,9337
UMTS,1,98437628,12.425786,41.832249,1078,68,8118
UMTS,1,98437626,12.438445,41.831931,908,76,7613
UMTS,1,98437865,12.446524,41.834835,707,22,7031
UMTS,1,98435257,12.458712,41.833851,1404,32,6743
UMTS,1,98436329,12.456779,41.840588,448,35,6114
UMTS,1,98436325,12.462681,41.841045,251,7,5890
UMTS,1,98435528,12.466107,41.843319,145,16,5563
UMTS,1,98445391,12.475275,41.84055,39,9,5662
UMTS,1,98438917,12.474558,41.839617,73,13,5775
UMTS,1,98435527,12.476268,41.843377,27,4,5339
UMTS,1,98436369,12.477369,41.844812,141,22,5166
UMTS,1,98435261,12.476255,41.84611,41,7,5044
UMTS,1,98437721,12.472672,41.853783,195,12,4302
UMTS,1,98437720,12.473652,41.85934,352,25,3699
UMTS,1,98435459,12.471036,41.85879,42,12,3831
UMTS,1,98441618,12.472079,41.859004,56,10,3778
UMTS,1,98436652,12.474281,41.8597,60,9,3644
UMTS,1,98436345,12.478663,41.863085,14,4,3179
UMTS,1,98436602,12.479771,41.869188,130,5,2513
UMTS,1,98435354,12.480559,41.873878,329,12,2012
UMTS,1,98436363,12.481646,41.876767,285,30,1689
UMTS,1,98436549,12.483995,41.880261,90,8,1264
UMTS,1,98436547,12.48965,41.886038,390,26,501
UMTS,1,98370967,12.494159,41.889742,264,17,143
UMTS,1,98376359,12.492949,41.89066,462,39,70
UMTS,1,98376360,12.499774,41.889434,190,4,558
UMTS,1,98379888,12.50133,41.889488,1534,24,672
UMTS,1,98376346,12.504263,41.889664,177,37,887
GSM,1,38483,12.507114,41.895889,459,7,1268
UMTS,1,98373372,12.509,41.886362,514,26,1308
UMTS,1,98379892,12.515036,41.884268,16,5,1809
UMTS,1,98370443,12.517743,41.881035,338,34,2143
UMTS,1,98369882,12.518589,41.877895,51,9,2380
UMTS,1,98764252,12.534212,41.860461,653,17,4537
UMTS,1,98369944,12.537296,41.856658,37,5,5004
UMTS,1,98379876,12.539269,41.855261,54,8,5217
UMTS,1,98772928,12.546491,41.852666,26,4,5793
UMTS,1,98764755,12.548468,41.850981,206,6,6030
UMTS,1,98775176,12.550972,41.847616,294,14,6430
UMTS,1,98765551,12.551398,41.844363,11,2,6722
UMTS,1,98765695,12.551894,41.835615,221,19,7508
UMTS,1,98769476,12.551417,41.837398,2,2,7327
UMTS,1,98765694,12.553619,41.833062,169,4,7813
UMTS,1,98765850,12.564411,41.822093,1018,29,9271
UMTS,1,98765849,12.573447,41.812465,349,33,10532
UMTS,1,98764768,12.575017,41.813965,84,14,10464
UMTS,1,98765618,12.579914,41.821935,251,18,9992
UMTS,1,98765616,12.582496,41.827955,562,17,9626
UMTS,1,98769280,12.587202,41.832707,24,4,9510
UMTS,1,98765614,12.589525,41.836161,56,5,9388
UMTS,1,98769270,12.590218,41.837721,174,20,9318
UMTS,1,98764748,12.59448,41.845088,340,3,9091
UMTS,1,98769222,12.597727,41.85207,204,16,8898
UMTS,1,98764792,12.598447,41.851445,423,5,8978
GSM,1,39426,12.483814,41.89339,597,81,726
