,net,cell,lon,lat,range,samples,distanze,grado
1194,10,12479094,12.377111,41.855946,485,31,10292.802659,13
1195,10,12511556,12.383362,41.840656,776,85,10587.7234995,12
1196,10,12510884,12.381661,41.892591,1302,78,9188.5953775,13
1197,10,12485826,12.374625,41.866485,715,45,10118.6344719,14
1198,10,12118505,12.446576,41.808129,241,31,9873.13510302,27
1199,10,12511446,12.380998,41.934741,304,18,10479.5345129,6
1200,10,12488405,12.384471,41.906998,288,17,9143.46818226,8
1201,10,12511445,12.382785,41.921254,1281,73,9722.86624275,12
1202,10,12118506,12.448056,41.807118,135,9,9930.72111816,24
1203,10,12118511,12.445226,41.809584,138,17,9768.51139529,24
1204,10,12115880,12.482251,41.800587,1378,63,9985.49641666,83
1205,10,12116312,12.460344,41.809035,2037,224,9395.36995518,141
1206,10,24229,12.457323,41.806738,33,6,9712.49685849,29
1207,10,23969,12.585426,41.841941,81,13,9404.19308432,44
1208,10,12066171,12.572302,41.850788,136,23,7950.70938842,26
1209,10,12079472,12.541318,41.867011,264,38,4811.78990375,19
1210,10,29391,12.537735,41.869437,56,10,4416.85785936,14
1211,10,12118503,12.586385,41.841218,14,3,9515.43565473,47
1212,10,12096916,12.552266,41.862419,169,27,5852.86867729,23
1213,10,12066169,12.564059,41.856012,489,67,7060.65535648,29
1214,10,12116046,12.545479,41.864505,249,36,5252.80718602,23
1215,10,12117809,12.561792,41.857327,251,3,6823.43967971,25
1216,10,12118497,12.582676,41.843797,282,40,9099.10665064,47
1217,10,12066172,12.569856,41.852508,166,27,7676.11021176,26
1218,10,12117328,12.543546,41.852684,2295,305,5951.09765436,111
1219,10,29398,12.537002,41.869877,16,4,4339.45774278,13
1220,10,12117331,12.539021,41.868634,16,4,4554.5170909,15
1221,10,12117810,12.557459,41.859694,207,30,6378.88916482,23
1222,10,12096919,12.554726,41.861182,68,11,6098.87009904,20
1223,10,12083376,12.45645,41.804775,563,8,9942.24546238,46
1224,10,12064355,12.458268,41.806803,32,7,9682.38923759,30
1225,10,12118390,12.454675,41.80839,264,38,9606.88570714,34
1226,10,12115877,12.47385,41.803069,453,61,9795.65827631,46
1227,10,12083379,12.448835,41.803038,1013,55,10330.2793142,63
1228,10,12097506,12.457769,41.806706,6,2,9704.86946775,29
1229,10,12116930,12.59,41.836046,2524,380,10094.7229279,137
1230,10,12091543,12.454461,41.811209,1454,234,9317.35127739,98
1231,10,12512013,12.488282,41.869693,231,45,2299.42796495,31
1232,10,12116713,12.522178,41.854678,2588,362,4656.4331014,128
1233,10,12064442,12.55539,41.831041,413,50,8399.44545631,37
1234,10,12512018,12.492842,41.867159,196,31,2556.53824687,36
1235,10,12509149,12.496553,41.870015,338,15,2266.22939016,39
1236,10,12116623,12.548919,41.837,669,70,7546.84836243,40
1237,10,12460918,12.491739,41.870388,415,37,2198.08827094,41
1238,10,12117719,12.559801,41.82634,208,30,9036.24290275,34
1239,10,12119936,12.4347,41.804182,631,118,10683.1648734,22
1240,10,12115697,12.439039,41.80262,340,23,10684.3384698,18
1241,10,12117383,12.437301,41.815588,425,84,9460.99899286,17
1242,10,12496229,12.393957,41.875789,27,5,8320.10813459,5
1243,10,12116305,12.455017,41.823562,1360,269,8021.11030051,91
1244,10,12510088,12.429332,41.814422,424,46,9907.55036,11
1245,10,12083382,12.449884,41.801429,280,43,10468.2506655,29
1246,10,10387185,12.482071,41.885371,145,22,1004.78769575,21
1247,10,12118395,12.453884,41.802264,739,61,10272.9067406,47
1248,10,12064359,12.462462,41.81705,11,3,8492.09917336,31
1249,10,12097705,12.45326,41.799804,385,17,10548.7911595,32
1250,10,12116070,12.472893,41.853307,148,20,4401.23102728,34
1251,10,12064358,12.463356,41.818764,5,2,8288.34867581,32
1252,10,12066555,12.471644,41.834861,35,5,6379.12753389,30
1253,10,12101120,12.475542,41.843202,354,6,5400.09752578,40
1254,10,12115965,12.476204,41.843472,7,2,5357.12938571,27
1255,10,12116409,12.471969,41.855474,213,23,4208.44341009,34
1256,10,12066556,12.470315,41.832398,15,3,6672.39036761,30
1257,10,12097578,12.463942,41.819871,9,2,8156.56452341,31
1258,10,12091540,12.478767,41.805068,655,19,9519.52342819,65
1259,10,12091535,12.483882,41.80681,359,65,9285.70513707,43
1260,10,12099517,12.4949,41.801039,210,29,9902.43767527,35
1261,10,12116651,12.579346,41.820674,272,26,10573.3631372,42
1262,10,12099516,12.510807,41.802545,1704,256,9853.08033245,52
1263,10,12115712,12.534841,41.802691,694,99,10338.1496094,24
1264,10,12115705,12.52828,41.809705,21,5,9423.02645423,21
1265,10,12118699,12.607564,41.849518,142,18,10578.7406268,32
1266,10,12118703,12.601358,41.85176,182,28,10006.3815983,39
1267,10,12511557,12.384163,41.840226,190,21,10556.0009151,7
1268,10,12511559,12.383119,41.849215,894,89,10144.0222677,19
1269,10,12083380,12.440552,41.802552,255,42,10639.811377,19
1270,10,12099516,12.493658,41.796089,69,7,10450.5134918,32
1271,10,12118500,12.588956,41.845262,631,128,9446.46970065,67
1272,10,12116973,12.594303,41.856962,776,91,9233.95825941,57
1273,10,10084340,12.548373,41.963447,225,37,9372.62409946,29
1274,10,10086037,12.547263,41.961431,11,3,9132.60814276,24
1275,10,10071750,12.54913,41.965756,60,12,9626.69973727,26
1276,10,10085291,12.609835,41.922342,72,14,10383.6823883,30
1277,10,10086563,12.615321,41.90245,270,41,10297.0305303,26
1278,10,10085293,12.613774,41.91731,269,44,10517.9292675,26
1279,10,12116650,12.569208,41.817213,852,101,10316.1979806,48
1280,10,10059346,12.60532,41.928059,502,75,10275.679259,34
1281,10,10086870,12.599306,41.935655,470,77,10212.0748307,27
1282,10,10085345,12.60264,41.867327,859,157,9501.61926638,45
1283,10,10062141,12.563212,41.966197,220,23,10289.1994353,22
1284,10,10086560,12.615069,41.895108,645,62,10200.7485823,34
1285,10,10086559,12.615463,41.906906,226,31,10385.4236731,25
1286,10,10085297,12.608877,41.923548,89,17,10356.1897325,31
1287,10,10062141,12.552926,41.971103,2130,195,10298.6214934,39
1288,10,10071755,12.545252,41.966006,1339,225,9498.0522103,36
1289,10,10086035,12.548375,41.959514,570,32,8996.05763963,30
1290,10,10087162,12.535683,41.942472,336,54,6832.14314976,19
1291,10,10065394,12.526032,41.929842,477,57,5218.40724919,14
1292,10,10396352,12.515362,41.892893,406,64,1935.10180848,23
1293,10,10413400,12.503578,41.886143,70,13,1035.22655706,16
1294,10,10408643,12.496643,41.880477,8,3,1134.8559398,21
1295,10,10086036,12.538952,41.94641,141,22,7346.73254312,18
1296,10,10069524,12.526892,41.94506,162,30,6736.9298893,15
1297,10,10086033,12.542216,41.951012,454,67,7923.88517435,20
1298,10,10085492,12.523753,41.93589,601,107,5707.93106948,16
1299,10,10414697,12.522908,41.897708,539,82,2671.98364751,26
1300,10,12509144,12.497225,41.864185,9,3,2914.95838954,27
1301,10,10393029,12.533439,41.905852,252,24,3830.07639933,12
1302,10,10413406,12.5008,41.884142,554,73,970.976752961,31
1303,10,10087164,12.529404,41.943258,355,59,6650.15115181,18
1304,10,10408646,12.496586,41.880369,10,4,1144.77747763,21
1305,10,10413246,12.506843,41.887815,162,29,1232.56496562,21
1306,10,10085495,12.52845,41.940792,51,8,6370.97529104,14
1307,10,10069527,12.529018,41.942624,165,27,6572.91362017,15
1308,10,10413242,12.508496,41.889248,86,13,1345.52095027,20
1309,10,10087165,12.537931,41.944905,35,7,7160.06020967,17
1310,10,10397249,12.489248,41.898164,5,2,923.710416954,8
1311,10,12067445,12.467293,41.830276,248,41,6970.05757132,38
1312,10,10413401,12.502659,41.890043,5,2,857.274932036,14
1313,10,12067451,12.469347,41.831129,0,2,6830.07982062,31
1314,10,12092631,12.497533,41.863213,96,16,3025.44654911,33
