index,radio,net,cell,lon,lat,range,samples,distance,grado
126,UMTS,99,6237896,12.605422,41.921659,1037,19,10013,12
127,UMTS,99,6237895,12.598905,41.914604,670,23,9250,10
128,UMTS,99,6267514,12.583758,41.910684,969,20,7921,15
202,UMTS,99,18695714,12.559888,41.893186,218,17,5616,21
203,UMTS,99,18716286,12.560467,41.891605,78,4,5656,17
204,UMTS,99,50594049,12.557853,41.892516,4901,33,5443,399
205,UMTS,99,18719326,12.559933,41.893141,201,11,5620,20
206,UMTS,99,18716235,12.559786,41.892863,364,29,5606,22
207,UMTS,99,18716236,12.55581,41.894846,534,3,5293,19
208,UMTS,99,18716238,12.559314,41.894001,10,6,5575,17
209,UMTS,99,18695716,12.559925,41.893621,40,4,5622,17
210,UMTS,99,18695715,12.560143,41.892263,0,2,5632,16
249,UMTS,99,21338974,12.512319,41.889962,8,3,1659,26
250,UMTS,99,21300556,12.513217,41.891476,511,18,1739,54
251,UMTS,99,21300553,12.512641,41.891042,584,11,1688,61
252,UMTS,99,21341071,12.508501,41.887472,290,38,1375,50
253,UMTS,99,18678071,12.5156,41.889501,417,3,1932,45
254,UMTS,99,21341077,12.508702,41.888326,309,29,1374,50
255,UMTS,99,21299778,12.508195,41.886608,284,18,1374,50
256,UMTS,99,18678077,12.513737,41.888648,306,8,1784,43
257,UMTS,99,21300559,12.513008,41.891417,625,14,1721,63
258,UMTS,99,21299772,12.505864,41.887194,682,19,1170,79
259,UMTS,99,21341074,12.508754,41.88669,315,38,1416,50
260,UMTS,99,21299775,12.504461,41.886903,481,38,1070,62
261,UMTS,99,18717434,12.509456,41.885988,134,9,1495,37
262,UMTS,99,18678076,12.508767,41.886974,36,7,1409,30
263,UMTS,99,21299776,12.504354,41.8875,171,28,1041,41
264,UMTS,99,21299774,12.503939,41.8881,227,10,990,45
265,UMTS,99,21341075,12.503394,41.889144,28,4,925,33
268,UMTS,99,21306843,12.506178,41.902387,57,6,1777,31
271,UMTS,99,18718575,12.515508,41.876989,643,15,2417,48
348,UMTS,99,21338083,12.494251,41.91542,344,4,2808,20
349,UMTS,99,21338089,12.493955,41.913251,629,5,2566,39
364,UMTS,99,6265712,12.561682,41.95085,1349,87,8860,30
365,UMTS,99,1022505,12.550219,41.951779,1056,19,8359,17
366,UMTS,99,1024461,12.554333,41.945311,831,571,7997,24
367,UMTS,99,1024464,12.554544,41.945515,372,52,8026,17
368,UMTS,99,6233496,12.563784,41.947618,386,20,8708,11
369,UMTS,99,6265715,12.559924,41.951955,1088,35,8861,19
370,UMTS,99,6233492,12.568965,41.944089,222,24,8733,10
371,UMTS,99,6266183,12.572488,41.941909,679,20,8788,16
372,UMTS,99,6266181,12.578,41.944018,826,12,9288,19
373,UMTS,99,6266185,12.579262,41.938743,324,11,9006,9
374,UMTS,99,6238133,12.585617,41.94352,463,11,9746,10
375,UMTS,99,6264406,12.584586,41.952526,500,7,10321,6
376,UMTS,99,6266184,12.581414,41.952688,667,14,10140,8
377,UMTS,99,6238136,12.585717,41.943087,150,3,9724,9
378,UMTS,99,6266182,12.576226,41.941723,767,126,9012,18
379,UMTS,99,6266186,12.574851,41.941177,107,9,8885,7
380,UMTS,99,6233493,12.564909,41.946215,426,55,8660,13
381,UMTS,99,1021531,12.557615,41.940615,594,14,7792,19
382,UMTS,99,1022502,12.549865,41.951923,1851,48,8355,40
383,UMTS,99,1022504,12.547264,41.957722,370,11,8778,10
384,UMTS,99,1024421,12.543928,41.940136,1517,40,7008,35
385,UMTS,99,1024424,12.545919,41.943548,912,24,7410,26
386,UMTS,99,989065,12.547255,41.942285,7,2,7366,13
387,UMTS,99,1024465,12.552129,41.940212,198,10,7449,15
388,UMTS,99,1021533,12.55367,41.934371,1210,81,7070,28
389,UMTS,99,1024462,12.548732,41.939631,675,85,7216,22
390,UMTS,99,1021534,12.557997,41.943402,168,3,8039,13
391,UMTS,99,6228426,12.576367,41.938299,215,3,8785,8
392,UMTS,99,1022501,12.547768,41.962549,433,10,9261,8
393,UMTS,99,6267372,12.541808,41.969401,434,7,9709,8
394,UMTS,99,6226782,12.54062,41.971013,348,21,9831,8
395,UMTS,99,6264261,12.535066,41.96939,1253,52,9485,16
396,UMTS,99,6264264,12.537244,41.972225,957,18,9845,10
397,UMTS,99,6265682,12.530257,41.974223,2517,14,9851,32
398,UMTS,99,6233491,12.570626,41.94591,53,4,8972,8
399,UMTS,99,6233494,12.571828,41.945368,8,2,9004,8
400,UMTS,99,6228421,12.592817,41.945562,987,9,10360,17
401,UMTS,99,6231693,12.594422,41.939014,828,2,10058,9
402,UMTS,99,984795,12.485763,41.892217,431,4,590,47
403,UMTS,99,1022842,12.48686,41.893491,577,14,584,51
404,UMTS,99,1024891,12.499149,41.894094,2040,2,714,265
405,UMTS,99,1023073,12.472304,41.895985,2280,72,1782,226
406,UMTS,99,1023832,12.476306,41.896232,243,5,1490,34
407,UMTS,99,1023782,12.483614,41.900701,381,15,1375,65
408,UMTS,99,984712,12.497429,41.902002,759,192,1380,90
409,UMTS,99,1022303,12.501963,41.9096,401,57,2301,42
410,UMTS,99,1021933,12.501709,41.909145,358,112,2246,40
411,UMTS,99,1022383,12.513363,41.911632,611,56,2954,28
412,UMTS,99,1024442,12.528776,41.952263,321,4,7529,6
413,UMTS,99,1024011,12.526135,41.947355,219,5,6942,8
414,UMTS,99,1024012,12.529365,41.941132,769,7,6440,21
415,UMTS,99,1024393,12.521626,41.933424,62,3,5383,10
416,UMTS,99,1021375,12.516149,41.928564,2,2,4699,5
