,net,cell,lon,lat,range,samples,distanze
212,10,10086880,12.568406,41.833028999999996,488,4,8954.492358621412
213,10,10413761,12.457754,41.936914,359,5,5931.406506986328
214,10,10086879,12.587996,41.834798,409,7,10045.878367004372
215,10,10086881,12.585467999999999,41.842565,211,7,9367.731807843142
216,10,10065561,12.584069,41.843404,32,2,9219.219084957871
217,10,10085031,12.570921,41.815017,28,2,10595.963556885237
218,10,10084700,12.5828,41.840883000000005,387,12,9294.618966364935
219,10,10084706,12.583047,41.841041,336,4,9300.88413617919
220,10,10032739,12.458704,41.816054,4719,21,8693.129575117495
221,10,10086774,12.459894,41.8184,477,2,8414.616437770548
222,10,10034219,12.611162,41.882503,753,69,9899.46353000498
223,10,10085346,12.602518,41.865237,762,29,9556.68040252136
224,10,10085340,12.604817,41.864472,287,2,9764.041448803628
225,10,10087221,12.574380999999999,41.880016999999995,18,2,6902.9132498193485
226,10,10085149,12.574148,41.879824,13,2,6887.390342902912
227,10,10084832,12.469825,41.833991999999995,207,5,6513.847585404754
228,10,10084835,12.469956,41.834402000000004,218,7,6467.101481252567
229,10,10084615,12.421396000000001,41.940991,39,5,8154.159438349002
230,10,10412399,12.502807,41.902015999999996,22,2,1576.7372109513763
231,10,10413054,12.52496,41.871596999999994,69,6,3404.7472228066026
232,10,10412776,12.523966,41.871361,5,2,3355.7518806380745
233,10,10413051,12.52338,41.871428,6,2,3313.1459628831744
234,10,10398780,12.520131,41.933668,20,4,5353.383623642902
235,10,10381980,12.455014,41.911125,16,4,3873.539153514446
236,10,10401939,12.486964,41.897419,150,2,919.8470122478344
237,10,10035833,12.454377000000001,41.826765,20,2,7715.716059506978
238,10,10412525,12.505433,41.908265,163,3,2284.7650473810113
239,10,10362490,12.469666,41.943744,0,2,6240.230015515406
240,10,10414631,12.535884,41.887715,52,2,3624.9620893734364
241,10,10084436,12.550042,41.859906,6,3,5852.588882957493
242,10,10084433,12.549933,41.859962,8,5,5841.607662555762
243,10,10084430,12.550009,41.859932,9,7,5848.68694309239
244,10,9510114,12.442984,41.830228000000005,16120,2,7817.870091518375
245,10,10084762,12.565581,41.897384,415,28,6131.437640402678
246,10,10084759,12.566259,41.898596999999995,1056,27,6206.047428109886
247,10,10084765,12.566007,41.897459000000005,164,8,6167.573477175487
248,10,10084287,12.565498,41.901198,481,2,6194.085119668876
249,10,10414720,12.531321,41.911194,232,11,3989.868443693499
250,10,28357,12.48217,41.801379,52,5,9898.412675847561
251,10,10084266,12.482525,41.801327,3,2,9901.698806240112
252,10,10085341,12.612757,41.89204,4291,329,9996.528577484332
253,10,10085344,12.604707000000001,41.871248,1822,249,9561.71672630947
254,10,10085345,12.609125,41.879031,2038,231,9772.609771179314
255,10,10059920,12.482308999999999,41.801572,65,8,9876.074783120792
256,10,10084259,12.481826,41.801624,6,3,9873.78322563603
257,10,10059926,12.482281,41.801499,61,8,9884.350160490063
258,10,10412234,12.504487,41.880263,38,10,1493.162785163068
259,10,10412237,12.504522,41.880278999999994,35,9,1493.8193076252664
260,10,10412231,12.504625,41.880349,23,7,1493.9345926665562
261,10,10085241,12.591472999999999,41.868409,12,3,8577.188237292507
262,10,10411909,12.488142999999999,41.979273,11081,12,9902.609863730851
263,10,10413629,12.560518,41.945124,36,5,8321.663755834514
264,10,10085949,12.560310000000001,41.944767999999996,88,11,8280.955763979942
265,10,10085952,12.558461,41.944937,233,5,8191.193357164096
266,10,10085355,12.598192,41.855568,281,2,9591.871078067066
267,10,10396149,12.525973,41.911537,47,4,3663.8438051262515
268,10,10084262,12.481614,41.801495,44,2,9889.624325777577
269,10,10065567,12.576253999999999,41.837913,965,2,9068.845285780606
270,10,10085441,12.497716,41.98283,34,4,10301.288223292264
271,10,10085444,12.497035,41.98296,66,4,10313.423428752685
272,10,10086159,12.580441,41.887688,4095,6,7317.86809381569
273,10,10067353,12.375478999999999,41.917667,10,2,10165.368708892174
274,10,10085543,12.5153,41.970153,69,2,9085.509154813653
275,10,10085955,12.554496,41.94559,47,2,8030.08197185207
276,10,10071114,12.564528,41.951602,1181,76,9078.63167397176
277,10,10071113,12.556172,41.948766,410,43,8390.551528964634
278,10,10085951,12.551748,41.947145,31,7,8021.122515660876
279,10,10414840,12.543602,41.940608000000005,949,11,7033.719774913947
280,10,10414843,12.543148,41.940699,48,4,7019.084508053277
281,10,10065670,12.551259,41.944969,792,9,7806.441315814954
282,10,10071110,12.553557000000001,41.945223999999996,276,24,7948.974725947483
283,10,10085957,12.557172,41.941629999999996,548,6,7848.673484500405
284,10,10084761,12.563433999999999,41.893840000000004,23,4,5914.927319269281
285,10,10414721,12.526083,41.911969,24,3,3701.9948586406063
286,10,29317,12.569280000000001,41.865092,39,2,6968.532375824465
287,10,29673,12.569842999999999,41.864895000000004,87,2,7020.126210288295
288,10,10413394,12.534981,41.870015,4,4,4188.803137852159
289,10,10413391,12.535003,41.870259000000004,0,2,4175.923116422131
290,10,10085630,12.565982,41.888546999999996,10,4,6115.267532304838
291,10,10412049,12.518172999999999,41.888616999999996,263,4,2151.6850814380136
292,10,10413922,12.512741,41.892219,59,4,1709.0378435960943
293,10,10413923,12.510987,41.890274,299,18,1548.3581788205183
294,10,10412402,12.501663,41.899708000000004,2,2,1312.0079508324225
295,10,28632,12.439926,41.853246,81,6,5979.069957048517
296,10,46613,12.455599000000001,41.907986,3,5,3633.909055136905
297,10,801,12.466804,41.949754999999996,25,4,6948.411454254195
298,10,10403281,12.466756,41.949742,9,3,6948.251044621432
299,10,17684000,12.444780999999999,41.87526,131,5,4280.2727771054515
300,10,10085170,12.441452,41.872042,502,4,4678.774691753889
301,10,10084953,12.443032,41.876283,69,7,4373.094601882681
302,10,10414849,12.529117999999999,41.869037,198,3,3851.6866196509645
303,10,10414852,12.528889,41.869109,218,4,3831.744910890056
304,10,10067290,12.410973,41.820166,350,792,10300.629212021999
305,10,10413864,12.530916,41.933634000000005,836,5,5792.265666107327
306,10,10411863,12.481169,41.900269,428,9,1454.4780601671205
307,10,10411860,12.481135,41.901529,179,4,1566.5833280873753
308,10,10414033,12.48235,41.872906,328,11,2089.15105492466
309,10,10414030,12.482857000000001,41.870365,794,7,2336.414596458833
310,10,10035829,12.466277999999999,41.829223,956,8,7106.979309957756
311,10,10364682,12.482353999999999,41.869774,374,3,2412.3431935912677
312,10,10392769,12.522131,41.908671999999996,40,3,3215.081428450214
313,10,10085071,12.441139,41.857356,587,5,5598.730998620013
314,10,10085069,12.441925999999999,41.859101,87,2,5423.921775025344
315,10,10085012,12.558226,41.808002,307,3,10641.62478365208
316,10,10085226,12.571736,41.84916,0,2,8012.982644112123
317,10,10085379,12.432853999999999,41.867466,1087,2,5543.953075027368
318,10,10085382,12.432056,41.870086,762,2,5478.106066292756
319,10,10396221,12.439957000000001,41.864582,386,3,5194.274226015683
320,10,10084951,12.441732,41.874321,548,5,4554.019460246104
321,10,10085220,12.571562,41.849466,1314,3,7981.788356246542
322,10,10085169,12.443574,41.868977,64,3,4682.099776644433
323,10,10084950,12.442949,41.875551,145,4,4408.860756553721
324,10,10085173,12.442022999999999,41.874419,155,7,4527.532498193516
325,10,10061342,12.413703,41.888929,277,3,6527.105037220728
326,10,10084882,12.410619,41.89152,6861,25,6783.108636366763
327,10,10084171,12.376703,41.886531,509,2,9605.116876807073
328,10,10084954,12.439478999999999,41.876393,760,5,4646.160664998027
329,10,10087219,12.584553999999999,41.889428,14,3,7654.361567218644
330,10,28633,12.439335,41.854313,3,5,5934.656509769315
331,10,10032861,12.573367,41.892369,15,5,6729.732833157825
332,10,29471,12.472692,41.863942,1434,6,3338.5850358446014
333,10,10395653,12.46588,41.861286,26,2,3887.9032616282916
334,10,10398779,12.510750999999999,41.938548,171,2,5586.175030801343
335,10,10085733,12.489746,41.816192,20,9,8219.905127353917
336,10,10412192,12.473975999999999,41.884468,85,2,1649.9364881565787
337,10,10412189,12.473930000000001,41.884334,79,4,1659.2244739995506
338,10,10412864,12.483283,41.922529,12,11,3671.403045611993
339,10,10084704,12.580539,41.844577,1000,21,8903.819372033971
340,10,10084707,12.581864999999999,41.849373,373,3,8705.551991703898
341,10,10084701,12.580883,41.842639,818,18,9051.261786733012
