,level_0,index,radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal,distanze
6657,190206,7990481,UMTS,222,1,3127,76965122,,12.472489999999999,41.894664,16,2,1,1441736340,1441736713,,1720.5056321670204
6658,190213,7996159,UMTS,222,1,61510,98969280,,12.533902000000001,41.908031,93,12,1,1441774828,1441774828,,3979.224483082138
6659,190341,8002732,UMTS,222,10,35008,12116632,,12.543776,41.799364000000004,293,20,1,1441872064,1441872064,,10953.818235597348
6660,190380,8004518,UMTS,222,1,3129,76835585,,12.505993,41.891194,377,3,1,1441912200,1441912330,,1139.499370291922
6661,190381,8004527,UMTS,222,1,3126,76950017,,12.492854,41.894059000000006,643,7,1,1441912433,1441912707,,433.7995121980007
6662,190382,8004539,UMTS,222,1,3127,76831493,,12.470976,41.896301,1255,18,1,1441912763,1441913498,,1898.4426020238186
6663,190384,8004573,UMTS,222,1,3127,76829955,,12.472066,41.886625,223,3,1,1441913621,1441913681,,1727.452099542525
6664,190385,8004578,UMTS,222,1,3127,76834305,,12.47,41.884177,7,2,1,1441913741,1441913761,,1969.426895792142
6665,190386,8004582,UMTS,222,1,61502,99031857,,12.466693,41.880621000000005,4,2,1,1441913818,1441913881,,2377.755934985667
6666,190387,8004590,GSM,222,1,60112,32509,,12.465848,41.875365,140,2,1,1441914031,1441914031,,2745.3728806268286
6667,190388,8004595,UMTS,222,1,3105,76816390,,12.451225,41.867612,883,39,1,1441914101,1441915648,,4233.427448395975
6668,190390,8004654,UMTS,222,1,3105,76822275,,12.450041,41.867447,6,16,1,1441915678,1441917029,,4323.710857080518
6669,190785,8011966,GSM,222,10,31043,30077,,12.5986,41.858346999999995,596,3,1,1442078477,1450333915,-73.0,9503.661436706598
6670,190793,8012228,UMTS,222,1,3126,76811266,,12.509058,41.882401,42,6,1,1442084219,1442084548,,1634.8068627010116
6671,191157,8014797,UMTS,222,10,35005,12479097,,12.376269,41.860479,91,16,1,1442163615,1442163615,,10183.451054255765
6672,191158,8014799,UMTS,222,10,35005,12485821,,12.374195,41.886029,8,2,1,1442163615,1442163615,,9815.583513876278
6673,191159,8014800,UMTS,222,10,35005,12511556,,12.381153,41.847136,661,53,1,1442163615,1442386835,,10394.448691858057
6674,191163,8014804,UMTS,222,10,35005,12509815,,12.383099000000001,41.852996000000005,403,57,1,1442163616,1442386835,,9964.027848981634
6675,191165,8014806,UMTS,222,10,35005,12510883,,12.375096000000001,41.884686,173,27,1,1442163615,1442163616,,9749.176194673944
6676,191166,8014807,UMTS,222,10,35005,12509003,,12.379109,41.882866,924,125,1,1442163615,1442163616,,9432.158478007954
6677,191167,8014808,UMTS,222,10,35005,12479095,,12.37723,41.856183,396,60,1,1442163615,1442163616,,10273.904447750214
6678,191168,8014810,UMTS,222,10,35015,10065372,,12.488468,41.986061,752,114,1,1442163617,1442163617,,10655.296906635404
6679,191169,8014811,UMTS,222,10,35005,12479098,,12.378261,41.85198,227,43,1,1442163616,1442163616,,10376.582315234054
6680,191171,8014813,UMTS,222,10,35005,12479094,,12.375079,41.863707,835,122,1,1442163615,1442163616,,10167.335371928666
6681,191172,8014819,UMTS,222,10,35015,10067892,,12.474389,41.985807,611,49,1,1442163617,1442163617,,10725.975822841314
6682,191173,8014820,UMTS,222,10,35005,12479091,,12.377832000000001,41.854110999999996,15,3,1,1442163616,1442163616,,10314.753232737772
6683,191175,8014822,UMTS,222,10,35005,12485829,,12.375981,41.870746999999994,874,76,1,1442163615,1442163616,,9895.796973447574
6684,191176,8014823,UMTS,222,10,35005,12511554,,12.383628999999999,41.840871,218,15,1,1442163615,1442163615,,10556.367403013082
6685,191177,8014824,UMTS,222,10,35005,12510886,,12.377614999999999,41.874472,1010,65,1,1442163615,1442163615,,9680.181680805013
6686,191178,8014825,UMTS,222,10,35005,12485826,,12.379961999999999,41.878428,23,3,1,1442163615,1442163615,,9417.492612693672
6687,191180,8014827,UMTS,222,10,35005,12479092,,12.379914999999999,41.852374,39,7,1,1442163616,1442163616,,10233.365858426256
6688,191183,8014830,UMTS,222,10,35005,12510807,,12.385398,41.835652,350,24,1,1442163615,1442163615,,10747.022125269825
6689,191184,8014900,UMTS,222,10,35004,10086117,,12.615277,41.895911,138,11,1,1442167216,1442167216,,10223.094292456475
6690,191185,8014901,UMTS,222,10,35004,10034236,,12.605912,41.873021,52,5,1,1442167216,1442167216,,9618.254555437808
6691,191187,8014903,UMTS,222,10,35004,10085135,,12.611733000000001,41.884048,1239,93,1,1442167216,1442167216,,9933.335202232933
6692,191189,8014905,UMTS,222,10,35004,10084627,,12.605153,41.872347,530,54,1,1442167215,1442167215,,9571.763651184314
6693,191190,8014906,UMTS,222,10,35004,10086115,,12.615452000000001,41.901407,447,34,1,1442167216,1442167216,,10293.203497787368
6694,191191,8014907,UMTS,222,10,35004,10085246,,12.606146,41.875574,10,3,1,1442167215,1442167215,,9585.084931322579
6695,191192,8014908,UMTS,222,10,35004,10062147,,12.564248,41.965944,1552,100,1,1442167216,1442167216,,10315.60676869022
6696,191193,8014909,UMTS,222,10,35004,10086877,,12.586545,41.952021,509,37,1,1442167216,1442167216,,10405.306351595036
6697,191300,8017400,UMTS,222,1,61501,99485240,,12.524398,41.91348,2,3,1,1442246889,1442247080,,3712.3748914554453
6698,191327,8018125,UMTS,222,10,35007,10395507,,12.472069,41.892283,59,5,1,1442257218,1442257218,,1697.8307142949186
6699,191328,8018126,UMTS,222,10,35007,10413517,,12.472258,41.895653,21,4,1,1442257218,1442257218,,1773.564619677228
6700,191329,8018128,UMTS,222,10,35007,10413506,,12.4728,41.897182,8,2,1,1442257218,1442257218,,1798.1132328820036
6701,191336,8018920,UMTS,222,10,32025,17658125,,12.462313,41.900302,11,3,1,1442269851,1442269911,,2733.3573027038233
6702,191591,8021880,UMTS,222,10,35005,12511553,,12.380907,41.850915,474,51,1,1442386835,1442386835,,10226.453133489324
6703,191594,8021884,UMTS,222,10,35008,12115703,,12.433750999999999,41.803497,132,15,1,1442386835,1442386835,,10786.567055321259
6704,191595,8021885,UMTS,222,10,35008,12083377,,12.438563,41.802803000000004,269,41,1,1442386834,1442386835,,10682.30388633401
6705,191599,8021889,GSM,222,10,31026,24062,,12.539465,41.798371,450,37,1,1442386833,1442386833,,10922.091468149136
6706,191600,8021890,UMTS,222,10,35005,12496223,,12.394039999999999,41.875562,50,8,1,1442386836,1442390428,,8318.243615566988
6707,191602,8021960,UMTS,222,10,35005,12496229,,12.394294,41.875091999999995,26,3,1,1442390428,1442390428,,8307.964107067228
6708,192236,8038108,UMTS,222,10,32026,17689119,,12.487294,41.903147,37,6,1,1442779799,1442783951,,1500.4371055609683
6709,192248,8038779,UMTS,222,10,35008,12092045,,12.508463,41.794389,112,16,1,1442818818,1442818818,,10722.788098663299
6710,192399,8040754,UMTS,222,88,31111,26005809,,12.568033999999999,41.891277,0,2,1,1442863264,1442863444,,6283.966793336394
6711,192405,8040803,UMTS,222,10,35008,12116928,,12.609994,41.854084,217,2,1,1442864386,1442864446,,10558.43708984606
6712,192523,8052244,UMTS,222,10,35005,12118403,,12.481736,41.792207,641,113,1,1442941220,1442941223,,10916.628526180537
6713,192524,8052245,UMTS,222,10,35010,12067536,,12.551648,41.801061,271,27,1,1442941225,1442941226,,11055.902528880453
6714,192538,8055275,UMTS,222,1,61510,98965824,,12.554333,41.876056,321,2,1,1442952843,1442952903,,5379.872048255491
6715,192557,8062471,UMTS,222,10,35008,12118395,,12.465114,41.799558000000005,27,4,1,1442998831,1442998831,,10315.34376418238
6716,192638,8069003,UMTS,222,10,35008,12116206,,12.562385,41.82436,259,37,1,1443078025,1443078025,,9341.92893083652
6717,192641,8069102,GSM,222,10,31010,54281,,12.496425,41.829694,244,49,1,1443081625,1443081625,,6726.032294894306
6718,192697,8073825,UMTS,222,10,35005,12094162,,12.51783,41.826463000000004,91,28,1,1443114023,1443114023,,7386.270707663725
6719,192698,8073827,UMTS,222,10,35005,12090752,,12.497515,41.82626,276,32,1,1443114023,1443114023,,7111.88941748178
6720,192699,8073828,UMTS,222,10,35005,12095231,,12.510552,41.827177,527,71,1,1443114023,1443114023,,7158.704551973325
6721,192700,8073829,UMTS,222,10,35005,12107313,,12.521983,41.827028000000006,97,13,1,1443114023,1443114024,,7433.16315338933
6722,192803,8086093,UMTS,222,10,35005,12093792,,12.457804,41.823734,646,123,1,1443204019,1443207619,,7916.776316945309
6723,192805,8086096,UMTS,222,10,35005,12067452,,12.46523,41.82632,137,21,1,1443204019,1443204019,,7440.633499130118
6724,192809,8086158,UMTS,222,10,35005,12119942,,12.434989999999999,41.805115,440,104,1,1443207620,1443218411,,10579.742473021171
6725,192810,8086159,UMTS,222,10,35005,12096872,,12.443223,41.814125,341,50,1,1443207619,1443207620,,9379.597588437717
6726,192817,8086357,GSM,222,10,31026,30492,,12.575986,41.815419,493,2,1,1443211464,1450335175,-81.0,10825.782149334445
6727,192828,8086727,UMTS,222,88,30329,81117190,,12.474433,41.894275,133,4,1,1443216051,1443216336,,1553.6685218697542
6728,192829,8086807,UMTS,222,10,35005,12069763,,12.444619,41.801079,323,31,1,1443222023,1443222023,,10659.564679507565
6729,192982,8101950,UMTS,222,88,31114,25276194,,12.404995,41.960512,133,2,1,1443366085,1443366203,,10654.479612687226
6730,193090,8125251,UMTS,222,88,31111,25970999,,12.533465,41.892324,7,2,1,1443634307,1443634367,,3422.129764209747
6731,193091,8125258,UMTS,222,88,31111,25970997,,12.535803999999999,41.892371000000004,45,2,1,1443634427,1443634487,,3616.1464151685286
6732,193095,8125411,UMTS,222,99,50033,13863425,,12.579168,41.91035,57,25,1,1443638017,1445454073,,7546.196730793019
6733,193461,8134867,UMTS,222,10,35005,12085909,,12.475521,41.833778,21,3,1,1443808812,1443808932,,6417.443283100797
6734,193499,8139305,UMTS,222,88,31111,25954334,,12.509881,41.893176000000004,10,2,1,1443895792,1443895817,,1494.1984862438997
6735,193501,8139318,UMTS,222,88,31111,25969782,,12.521331,41.888312,32,2,1,1443896036,1443896098,,2415.6937490484784
6736,193672,8151251,UMTS,222,88,31121,26290760,,12.512834,41.925672999999996,6,2,1,1444169112,1444169184,,4294.346546814084
6737,194097,8164496,UMTS,222,88,30488,80984327,,12.588281,41.869128,20,4,1,1444323201,1444323433,,8300.420208402595
6738,194179,8169540,UMTS,222,88,31129,26057115,,12.465182,41.865151000000004,111,6,1,1444416018,1444416549,,3578.1055380833877
6739,194180,8169552,UMTS,222,88,31129,26034356,,12.465365,41.865465,2,3,1,1444416215,1444416375,,3541.4597014543674
6740,194181,8169554,UMTS,222,88,31129,26031836,,12.465202,41.86538,55,5,1,1444416269,1444416499,,3557.331619324685
6741,194182,8169557,UMTS,222,88,31129,26031837,,12.465095,41.864836,75,2,1,1444416307,1444416559,,3609.870538544137
6742,194183,8169561,UMTS,222,88,31129,26070437,,12.445012,41.874208,9,4,1,1444416407,1444416665,,4309.379336949857
6743,194209,8170031,UMTS,222,99,50063,21364216,,12.47373,41.910381,1407,6,1,1444427631,1448383946,,2724.0300332923252
6744,194541,8179419,UMTS,222,1,61510,98961155,,12.539257000000001,41.870973,6371,3,1,1444755354,1444755473,,4440.69257407121
6745,194668,8186627,UMTS,222,88,31111,25962988,,12.569082,41.887142,1,2,1,1445020362,1445020422,,6378.841721460414
6746,194672,8186806,UMTS,222,10,32026,17768205,,12.476544,41.905019,83,4,1,1445024022,1445024213,,2106.024875907416
6747,194718,8189098,UMTS,222,88,31114,25259157,,12.383028999999999,41.944276,37,2,1,1445063990,1445064050,,10878.004913618865
6748,194743,8190701,UMTS,222,99,50063,18063437,,12.475861,41.882183000000005,61,14,1,1445107362,1445110923,,1629.7910040484091
6749,194830,8192456,UMTS,222,88,30129,26244343,,12.580681,41.857292,3,2,1,1445179414,1445179483,,8193.3014218923
6750,194837,8192819,UMTS,222,99,50063,18060961,,12.469816,41.864058,72,3,1,1445188904,1445189026,,3450.5974714549006
6751,194849,8194346,UMTS,222,10,35005,12510111,,12.456209,41.857138,397,10,1,1445234834,1447433204,,4738.681226696214
6752,194852,8194399,UMTS,222,88,30092,25716299,,12.411301,41.896017,7,3,1,1445238615,1445238815,,6755.876782255532
6753,194888,8195739,UMTS,222,88,31129,26071602,,12.446178,41.874676,57,4,1,1445276127,1445276382,,4199.77522487924
6754,194889,8195742,UMTS,222,88,31129,26058458,,12.446328999999999,41.874773,1,2,1,1445276192,1445276314,,4183.9271214278415
6755,194921,8204215,UMTS,222,88,30328,80906248,,12.469917,41.884757,65,2,1,1445357751,1445357821,,1955.1309574486868
6756,195006,8206032,UMTS,222,99,50063,18064055,,12.443088000000001,41.871415999999996,689,9,1,1445413631,1445413931,,4587.7476301300985
6757,195008,8206102,UMTS,222,99,50063,27239561,,12.494816,41.830321000000005,127,2,1,1445415771,1445415836,,6650.997114693359
6758,195009,8206104,UMTS,222,99,50063,27237056,,12.493985,41.830581,168,4,1,1445415891,1445417457,,6620.342199511451
6759,195010,8206113,UMTS,222,99,50063,27237053,,12.494855000000001,41.829701,35,2,1,1445416072,1445440434,,6719.927940284062
6760,195079,8207169,UMTS,222,99,50063,18023122,,12.449027000000001,41.852211,20,2,1,1445441676,1445441731,,5540.993038865805
6761,195083,8207196,UMTS,222,99,50063,18053052,,12.454974,41.853551,619,10,1,1445442006,1445442634,,5115.0218578126005
